supplier_id,supplier_name,country,contact_email,phone,rating
1,Elite Supply,Japan,sales1@example.com,885-917-2662,4.14
2,United Distribution,India,sales2@example.com,(829)950-2298x951,3.9
3,United Trading,China,sales3@example.com,+1-476-861-4758x178,4.3
4,Prime Trading,India,sales4@example.com,001-839-336-5038,4.96
5,National Distribution,China,sales5@example.com,(726)986-6264,3.55
6,Vertex Industries,Italy,sales6@example.com,+1-586-370-1958,4.12
7,National Trading,Italy,sales7@example.com,(250)424-2691x626,3.53
8,Vertex Retail,Italy,sales8@example.com,001-991-544-6893x536,4.13
9,Advanced Supply,Italy,sales9@example.com,+1-457-893-6163x3066,4.31
10,National Supply,Germany,sales10@example.com,5656862478,3.91
11,United Solutions,Canada,sales11@example.com,(959)552-7044x50248,4.43
12,National Solutions,Canada,sales12@example.com,919-208-6451,4.4
13,NextGen Trading,Germany,sales13@example.com,(768)679-0618x7572,4.89
14,Dynamic Retail,Japan,sales14@example.com,+1-240-930-2071x06521,3.59
15,Vertex Industries,UK,sales15@example.com,(519)291-0749x583,4.05
16,Future Distribution,India,sales16@example.com,001-966-515-5496,3.52
17,National Distribution,Germany,sales17@example.com,767-759-8282x08341,3.83
18,Elite Manufacturing,Japan,sales18@example.com,455-826-6885x0323,4.47
19,Prime Technologies,China,sales19@example.com,001-310-707-6376x633,4.89
20,Vertex Technologies,France,sales20@example.com,870.278.1909x13284,4.46
21,United Logistics,France,sales21@example.com,984-397-1255,4.8
22,National Electronics,France,sales22@example.com,981-883-2453x82431,3.89
23,Prime Technologies,Canada,sales23@example.com,+1-724-478-6507x43894,3.94
24,National Electronics,Germany,sales24@example.com,350-925-5482x90083,3.88
25,Vertex Technologies,Germany,sales25@example.com,001-822-548-1625x4314,4.41
26,NextGen Technologies,USA,sales26@example.com,(441)720-1704x012,4.99
27,Elite Technologies,India,sales27@example.com,(899)436-4688,4.83
28,NextGen Distribution,USA,sales28@example.com,+1-420-255-3571x61651,4.23
29,United Distribution,Japan,sales29@example.com,(800)531-3169x587,4.11
30,Prime Distribution,USA,sales30@example.com,(397)647-9097,3.74
31,Prime Electronics,France,sales31@example.com,+1-620-283-1457x7931,4.99
32,United Industries,Italy,sales32@example.com,284.805.2253,3.76
33,NextGen Distribution,India,sales33@example.com,(707)599-8360,4.45
34,Prime Technologies,Germany,sales34@example.com,877.781.5799,4.89
35,Vertex Retail,UK,sales35@example.com,203-240-9000x5906,4.66
36,Vertex Distribution,USA,sales36@example.com,(534)244-7741x8842,3.88
37,Future Retail,Italy,sales37@example.com,244.863.0514,4.81
38,Future Logistics,UK,sales38@example.com,789-849-7143x7265,4.52
39,Global Supply,USA,sales39@example.com,(428)440-9270x805,3.85
40,National Electronics,Italy,sales40@example.com,001-304-310-1137x1300,4.31
41,National Manufacturing,China,sales41@example.com,2508074495,4.51
42,National Technologies,South Korea,sales42@example.com,001-841-359-1716x4115,4.56
43,National Supply,Canada,sales43@example.com,706.486.5305x2358,3.71
44,Vertex Manufacturing,USA,sales44@example.com,(505)352-6096x70172,4.11
45,Global Solutions,India,sales45@example.com,503.561.4517,4.13
46,Dynamic Trading,Italy,sales46@example.com,336.876.0706x283,4.25
47,Dynamic Industries,China,sales47@example.com,+1-418-332-8520,4.56
48,United Technologies,China,sales48@example.com,711-230-9587x6931,3.62
49,Global Industries,France,sales49@example.com,6745993054,4.07
50,United Trading,India,sales50@example.com,+1-501-991-7326,3.79
51,United Manufacturing,Germany,sales51@example.com,001-453-770-5738x095,4.43
52,Prime Supply,South Korea,sales52@example.com,+1-431-675-5122x7349,3.51
53,Elite Technologies,USA,sales53@example.com,001-973-331-1810x0282,4.87
54,Advanced Logistics,India,sales54@example.com,001-920-990-7089x922,5.0
55,Advanced Manufacturing,France,sales55@example.com,+1-696-283-9275x7782,4.0
56,Prime Manufacturing,Italy,sales56@example.com,(699)946-3728,4.26
57,NextGen Distribution,Italy,sales57@example.com,307.446.8313,4.85
58,Dynamic Distribution,USA,sales58@example.com,704-425-9243,4.58
59,Advanced Trading,UK,sales59@example.com,742.539.8407,4.17
60,Vertex Solutions,China,sales60@example.com,+1-632-730-9292x41078,4.3
61,Prime Trading,Germany,sales61@example.com,(492)813-1000,4.52
