product_id,product_name,brand,category,subcategory,description,price,cost,color,weight_kg,rating,supplier_id
1,Packt Programming 7652,Packt,Books,Programming,Packt Programming designed for high performance and everyday use. Premium quality with modern features.,1115.13,1404.88,Black,15.44,4.5,708
2,Nike Fitness 8233,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,831.32,750.65,Gray,7.03,4.8,388
3,IKEA Furniture 1769,IKEA,Home,Furniture,IKEA Furniture designed for high performance and everyday use. Premium quality with modern features.,817.49,133.48,Red,13.57,4.9,1731
4,Zara Clothing 6353,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,1503.95,643.81,Red,2.72,4.7,605
5,Nike Fitness 4594,Nike,Sports,Fitness,Nike Fitness designed for high performance and everyday use. Premium quality with modern features.,1468.21,1394.5,Gray,10.51,3.6,1940
6,Sennheiser Headphones 2514,Sennheiser,Electronics,Headphones,Sennheiser Headphones designed for high performance and everyday use. Premium quality with modern features.,451.13,927.08,Black,11.06,4.0,1096
7,Adidas Shoes 789,Adidas,Fashion,Shoes,Adidas Shoes designed for high performance and everyday use. Premium quality with modern features.,2176.39,1021.99,Black,9.42,4.1,1261
8,O'Reilly Programming 2858,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,41.35,926.09,Blue,14.86,3.8,513
9,Zara Clothing 1859,Zara,Fashion,Clothing,Zara Clothing designed for high performance and everyday use. Premium quality with modern features.,2098.88,158.12,Blue,4.17,3.8,1256
10,O'Reilly Programming 6827,O'Reilly,Books,Programming,O'Reilly Programming designed for high performance and everyday use. Premium quality with modern features.,2103.67,272.65,Black,10.23,3.9,340
11,Nike Shoes 6677,Nike,Fashion,Shoes,Nike Shoes designed for high performance and everyday use. Premium quality with modern features.,2279.8,967.95,Blue,3.79,4.2,1202
12,JBL Headphones 4695,JBL,Electronics,Headphones,JBL Headphones designed for high performance and everyday use. Premium quality with modern features.,403.06,373.77,Black,9.74,4.1,352
13,Sony Headphones 2370,Sony,Electronics,Headphones,Sony Headphones designed for high performance and everyday use. Premium quality with modern features.,2408.03,1071.35,White,2.34,4.5,1735
14,KitchenAid Kitchen 8868,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,2156.06,687.13,Silver,11.73,3.5,1707
15,KitchenAid Kitchen 9355,KitchenAid,Home,Kitchen,KitchenAid Kitchen designed for high performance and everyday use. Premium quality with modern features.,882.79,1286.7,Black,2.33,3.7,1136
16,JBL Headphones 1102,JBL,Electronics,Headphones,JBL Headphones designed for high performance and everyday use. Premium quality with modern features.,1419.49,1671.19,Black,0.21,4.4,1838
17,Levi's Clothing 9055,Levi's,Fashion,Clothing,Levi's Clothing designed for high performance and everyday use. Premium quality with modern features.,2202.29,1218.91,Blue,0.89,4.9,1551
18,Under Armour Fitness 4375,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,2443.92,1274.1,Silver,12.31,4.5,458
19,Philips Kitchen 9673,Philips,Home,Kitchen,Philips Kitchen designed for high performance and everyday use. Premium quality with modern features.,1531.5,603.36,Silver,5.05,4.3,1501
20,LG Monitor 3453,LG,Electronics,Monitor,LG Monitor designed for high performance and everyday use. Premium quality with modern features.,33.11,1639.64,Black,11.84,4.3,424
21,Puma Shoes 3057,Puma,Fashion,Shoes,Puma Shoes designed for high performance and everyday use. Premium quality with modern features.,2292.2,379.99,White,16.59,4.8,1615
22,BenQ Monitor 5595,BenQ,Electronics,Monitor,BenQ Monitor designed for high performance and everyday use. Premium quality with modern features.,485.85,1080.8,Black,9.51,3.9,164
23,Under Armour Fitness 8295,Under Armour,Sports,Fitness,Under Armour Fitness designed for high performance and everyday use. Premium quality with modern features.,831.08,1634.88,Red,16.74,4.9,1760
24,Nike Shoes 9408,Nike,Fashion,Shoes,Nike Shoes designed for high performance and everyday use. Premium quality with modern features.,1980.17,650.85,White,16.83,4.5,451
25,Adidas Fitness 987,Adidas,Sports,Fitness,Adidas Fitness designed for high performance and everyday use. Premium quality with modern features.,2041.05,1479.76,Blue,18.21,4.7,959
